品名,日付,販売方法,卸売数量合計,豊洲,大田,豊島,淀橋,板橋,世田谷,北足立,多摩NT,葛西
あまなつかん,2021/2/1,相対,27580,－,20380,2000,4000,500,－,700,－,－
いよかん,2021/2/1,せり・入札,30,－,30,－,－,－,－,－,－,－
いよかん,2021/2/1,相対,118157,14750,56047,8000,12370,6500,900,14100,90,5400
いよかん,2021/2/1,第三者販売,6920,－,1710,－,－,－,－,－,5210,－
はっさく,2021/2/1,せり・入札,660,－,660,－,－,－,－,－,－,－
はっさく,2021/2/1,相対,54649,4205,27184,－,4130,3500,700,10800,30,4100
はっさく,2021/2/1,第三者販売,1079,450,629,－,－,－,－,－,－,－
不知火,2021/2/1,せり・入札,3680,－,3680,－,－,－,－,－,－,－
不知火,2021/2/1,相対,109804,17434,56640,500,7575,6700,2000,13000,3055,2900
不知火,2021/2/1,第三者販売,3040,2975,65,－,－,－,－,－,－,－
不知火,2021/2/1,商物分離,1224,－,1224,－,－,－,－,－,－,－
せとか,2021/2/1,せり・入札,104,－,104,－,－,－,－,－,－,－
せとか,2021/2/1,相対,24805,3645,17309,－,685,400,－,2600,66,100
せとか,2021/2/1,第三者販売,675,－,675,－,－,－,－,－,－,－
せとか,2021/2/1,商物分離,162,－,162,－,－,－,－,－,－,－
きんかん,2021/2/1,せり・入札,1684,－,1684,－,－,－,－,－,－,－
きんかん,2021/2/1,相対,17287,2930,10080,800,1804,400,50,1000,123,100
きんかん,2021/2/1,第三者販売,481,393,88,－,－,－,－,－,－,－
きんかん,2021/2/1,商物分離,74,－,74,－,－,－,－,－,－,－
りんご,2021/2/1,せり・入札,5830,－,5800,－,－,－,－,－,－,30
りんご,2021/2/1,相対,376518,25931,220270,500,48457,10510,4200,23900,80,42670
りんご,2021/2/1,第三者販売,1154,－,864,－,－,290,－,－,－,－
りんご,2021/2/1,商物分離,14560,－,14560,－,－,－,－,－,－,－
いちご,2021/2/1,せり・入札,2089,－,1883,－,－,6,－,100,－,100
いちご,2021/2/1,相対,256829,19387,186917,2800,14325,3655,500,19600,145,9500
いちご,2021/2/1,第三者販売,4461,2086,2336,－,－,39,－,－,－,－
いちご,2021/2/1,商物分離,18221,－,18221,－,－,－,－,－,－,－
アールスメロン,2021/2/1,せり・入札,2166,351,1543,72,－,－,－,200,－,－
アールスメロン,2021/2/1,相対,5272,912,3513,228,319,200,－,－,－,100
アールスメロン,2021/2/1,第三者販売,127,127,－,－,－,－,－,－,－,－
キウイ,2021/2/1,相対,69060,11095,47167,1700,4074,1500,200,2900,324,100
キウイ,2021/2/1,第三者販売,1034,374,660,－,－,－,－,－,－,－
キウイ,2021/2/1,商物分離,7980,－,7980,－,－,－,－,－,－,－
その他果実,2021/2/1,せり・入札,1183,－,1183,－,－,－,－,－,－,－
その他果実,2021/2/1,相対,348363,48961,123121,12900,35030,42400,3200,50900,1651,30200
その他果実,2021/2/1,第三者販売,11408,10618,790,－,－,－,－,－,－,－
