品名,日付,販売方法,卸売数量合計,豊洲,大田,豊島,淀橋,板橋,世田谷,北足立,多摩NT,葛西
ピーマン,2021/2/15,商物分離,2767,－,2767,－,－,－,－,－,－,－
じゃがいも,2021/2/15,せり・入札,150,－,150,－,－,－,－,－,－,－
じゃがいも,2021/2/15,相対,393899,17430,207269,25000,48240,30000,15620,10500,2740,37100
じゃがいも,2021/2/15,第三者販売,1730,1580,150,－,－,－,－,－,－,－
じゃがいも,2021/2/15,商物分離,29900,－,29900,－,－,－,－,－,－,－
さつまいも,2021/2/15,せり・入札,215,－,215,－,－,－,－,－,－,－
さつまいも,2021/2/15,相対,141964,9492,80002,6000,12155,7400,4810,9000,4605,8500
さつまいも,2021/2/15,第三者販売,420,410,－,－,－,－,－,－,10,－
さつまいも,2021/2/15,商物分離,6120,－,6120,－,－,－,－,－,－,－
さといも,2021/2/15,相対,25100,1668,17783,300,2554,1700,385,100,10,600
さといも,2021/2/15,第三者販売,80,80,－,－,－,－,－,－,－,－
さといも,2021/2/15,商物分離,782,－,782,－,－,－,－,－,－,－
たまねぎ,2021/2/15,せり・入札,3020,－,3020,－,－,－,－,－,－,－
たまねぎ,2021/2/15,相対,462220,45700,245640,15000,36800,33100,14900,36600,10480,24000
たまねぎ,2021/2/15,第三者販売,20450,5130,15300,－,－,－,－,－,20,－
たまねぎ,2021/2/15,商物分離,15600,－,15600,－,－,－,－,－,－,－
なましいたけ,2021/2/15,せり・入札,383,178,108,－,97,－,－,－,－,－
なましいたけ,2021/2/15,相対,33872,2744,22434,300,1839,1100,234,4400,121,700
なましいたけ,2021/2/15,第三者販売,517,316,201,－,－,－,－,－,－,－
なましいたけ,2021/2/15,商物分離,321,－,321,－,－,－,－,－,－,－
その他野菜,2021/2/15,せり・入札,10274,1715,3809,－,3972,－,78,200,－,500
その他野菜,2021/2/15,相対,805977,106201,388338,50000,75459,49000,12025,69800,5954,49200
その他野菜,2021/2/15,第三者販売,10521,3075,7446,－,－,－,－,－,－,－
その他野菜,2021/2/15,商物分離,13066,－,13066,－,－,－,－,－,－,－
みかん,2021/2/15,せり・入札,19020,－,13270,－,－,5620,－,100,－,30
みかん,2021/2/15,相対,534768,101612,275845,32200,60071,16770,3800,31400,100,12970
みかん,2021/2/15,第三者販売,6086,1440,4336,－,－,310,－,－,－,－
ポンカン,2021/2/15,相対,71128,3660,38679,3000,13529,5500,－,4000,2660,100
ポンカン,2021/2/15,商物分離,5709,－,5709,－,－,－,－,－,－,－
あまなつかん,2021/2/15,相対,38960,4250,18710,1000,4000,2000,2900,6000,－,100
あまなつかん,2021/2/15,第三者販売,750,750,－,－,－,－,－,－,－,－
いよかん,2021/2/15,せり・入札,300,－,300,－,－,－,－,－,－,－
いよかん,2021/2/15,相対,104305,16827,53469,5900,13069,4100,60,10500,80,300
いよかん,2021/2/15,第三者販売,9600,3250,750,－,－,－,－,－,5600,－
いよかん,2021/2/15,商物分離,9045,－,9045,－,－,－,－,－,－,－
はっさく,2021/2/15,相対,55798,2090,36833,－,4400,3100,－,6000,75,3300
はっさく,2021/2/15,第三者販売,293,－,293,－,－,－,－,－,－,－
不知火,2021/2/15,せり・入札,273,－,273,－,－,－,－,－,－,－
不知火,2021/2/15,相対,183865,27782,93795,3800,34618,6150,1100,11500,2320,2800
不知火,2021/2/15,第三者販売,17846,9628,1403,－,－,250,－,－,6565,－
不知火,2021/2/15,商物分離,1315,－,1315,－,－,－,－,－,－,－
せとか,2021/2/15,せり・入札,156,－,156,－,－,－,－,－,－,－
せとか,2021/2/15,相対,15914,344,12475,200,695,－,－,2200,－,－
せとか,2021/2/15,第三者販売,42,18,24,－,－,－,－,－,－,－
きんかん,2021/2/15,せり・入札,29,－,29,－,－,－,－,－,－,－
きんかん,2021/2/15,相対,15117,2037,9971,600,1159,400,150,700,－,100
きんかん,2021/2/15,第三者販売,231,91,140,－,－,－,－,－,－,－
きんかん,2021/2/15,商物分離,106,－,106,－,－,－,－,－,－,－
りんご,2021/2/15,せり・入札,15295,－,15265,－,－,－,－,－,－,30
りんご,2021/2/15,相対,276683,25712,141960,4100,49681,13000,3500,18300,160,20270
りんご,2021/2/15,第三者販売,2568,－,2228,－,－,200,－,－,140,－
りんご,2021/2/15,商物分離,7030,－,7030,－,－,－,－,－,－,－
いちご,2021/2/15,せり・入札,1534,－,1266,－,－,6,－,100,－,162
いちご,2021/2/15,相対,267224,21864,195775,3300,15353,4171,500,17900,223,8138
いちご,2021/2/15,第三者販売,3628,1184,2177,－,－,123,－,－,144,－
いちご,2021/2/15,商物分離,20641,－,20641,－,－,－,－,－,－,－
アールスメロン,2021/2/15,せり・入札,3854,756,2966,32,－,－,－,100,－,－
アールスメロン,2021/2/15,相対,7668,1128,5597,268,484,91,－,－,－,100
アールスメロン,2021/2/15,第三者販売,203,194,－,－,－,9,－,－,－,－
キウイ,2021/2/15,せり・入札,1324,－,1324,－,－,－,－,－,－,－
キウイ,2021/2/15,相対,37469,8930,19519,－,4094,1100,50,3200,4,572
キウイ,2021/2/15,第三者販売,4370,4370,－,－,－,－,－,－,－,－
キウイ,2021/2/15,商物分離,9284,－,8284,－,－,－,－,－,－,1000
その他果実,2021/2/15,せり・入札,1365,－,1365,－,－,－,－,－,－,－
その他果実,2021/2/15,相対,341644,40717,125743,14900,31178,42800,3900,50200,2778,29428
その他果実,2021/2/15,第三者販売,16101,10200,5901,－,－,－,－,－,－,－
その他果実,2021/2/15,商物分離,18112,－,18012,－,－,－,－,－,－,100
だいこん,2021/2/16,せり・入札,882,－,282,100,－,200,－,200,－,100
だいこん,2021/2/16,相対,399158,25510,186075,16800,48477,35200,12193,40900,803,33200
だいこん,2021/2/16,第三者販売,7971,7571,－,100,－,－,－,－,300,－
だいこん,2021/2/16,商物分離,17220,－,17220,－,－,－,－,－,－,－
かぶ,2021/2/16,せり・入札,477,－,477,－,－,－,－,－,－,－
かぶ,2021/2/16,相対,51907,－,35166,2000,5037,4200,1062,2800,442,1200
かぶ,2021/2/16,第三者販売,30,－,－,－,－,－,－,－,30,－
かぶ,2021/2/16,商物分離,800,－,600,－,－,－,－,200,－,－
にんじん,2021/2/16,せり・入札,1846,440,1306,－,－,－,－,－,－,100
にんじん,2021/2/16,相対,280278,33514,122814,15500,35074,21900,7026,12300,6050,26100
にんじん,2021/2/16,第三者販売,3620,－,1520,1500,－,－,－,－,600,－
にんじん,2021/2/16,商物分離,5450,－,5450,－,－,－,－,－,－,－
ごぼう,2021/2/16,相対,16904,1902,7886,500,1792,1700,724,400,100,1900
ごぼう,2021/2/16,第三者販売,28,－,－,－,－,－,－,－,28,－
ごぼう,2021/2/16,商物分離,1120,－,1120,－,－,－,－,－,－,－
キャベツ,2021/2/16,せり・入札,3590,490,2650,100,－,150,－,100,－,100
キャベツ,2021/2/16,相対,705588,70088,329995,29900,129105,39950,17000,35200,19350,35000
キャベツ,2021/2/16,第三者販売,3450,2400,900,－,－,－,－,－,150,－
キャベツ,2021/2/16,商物分離,108540,－,108540,－,－,－,－,－,－,－
レタス,2021/2/16,せり・入札,780,－,330,100,－,150,－,100,－,100
レタス,2021/2/16,相対,223427,29638,112133,18500,18961,14650,3955,11000,1590,13000
レタス,2021/2/16,第三者販売,8430,－,7000,1400,－,－,－,－,30,－
レタス,2021/2/16,商物分離,58842,－,58842,－,－,－,－,－,－,－
はくさい,2021/2/16,せり・入札,3421,－,2676,150,－,195,－,300,－,100
はくさい,2021/2/16,相対,441818,42474,220475,59850,26591,21505,8292,19700,6731,36200
はくさい,2021/2/16,第三者販売,5819,4870,910,－,－,－,－,－,39,－
はくさい,2021/2/16,商物分離,94800,－,83800,－,－,－,－,11000,－,－
こまつな,2021/2/16,せり・入札,5685,－,3177,200,186,100,22,－,－,2000
こまつな,2021/2/16,相対,38833,4669,19803,2800,3529,3000,624,3200,308,900
こまつな,2021/2/16,第三者販売,62,50,－,－,－,－,－,－,12,－
こまつな,2021/2/16,商物分離,2994,－,2994,－,－,－,－,－,－,－
ほうれんそう,2021/2/16,せり・入札,2554,1594,463,－,309,80,8,100,－,－
ほうれんそう,2021/2/16,相対,67755,7779,30171,7000,5877,4220,886,7800,522,3500
ほうれんそう,2021/2/16,第三者販売,127,－,85,－,－,－,－,－,42,－
ほうれんそう,2021/2/16,商物分離,2847,－,2847,－,－,－,－,－,－,－
ねぎ,2021/2/16,せり・入札,2050,568,33,50,824,75,－,400,－,100
ねぎ,2021/2/16,相対,137856,19544,55660,11800,15655,15725,2042,7700,1830,7900
ねぎ,2021/2/16,第三者販売,1423,873,205,150,－,－,－,－,195,－
ねぎ,2021/2/16,商物分離,6325,－,6325,－,－,－,－,－,－,－
みずな,2021/2/16,せり・入札,6,－,6,－,－,－,－,－,－,－
みずな,2021/2/16,相対,20671,3602,9260,1000,1520,1600,251,2000,338,1100
みずな,2021/2/16,第三者販売,474,280,184,－,－,－,－,－,10,－
みずな,2021/2/16,商物分離,1190,－,1190,－,－,－,－,－,－,－
セルリー,2021/2/16,せり・入札,34,－,34,－,－,－,－,－,－,－
セルリー,2021/2/16,相対,40688,5317,22762,2000,3379,1300,360,3600,470,1500
セルリー,2021/2/16,第三者販売,250,250,－,－,－,－,－,－,－,－
ブロッコリー,2021/2/16,せり・入札,280,－,280,－,－,－,－,－,－,－
ブロッコリー,2021/2/16,相対,183585,26956,90492,33000,22439,3400,2162,4100,1036,－
ブロッコリー,2021/2/16,第三者販売,7129,6849,240,－,－,－,－,－,40,－
ブロッコリー,2021/2/16,商物分離,6300,－,6300,－,－,－,－,－,－,－
きゅうり,2021/2/16,せり・入札,685,－,360,50,－,75,－,100,－,100
きゅうり,2021/2/16,相対,188027,22954,90986,9950,20632,11825,8430,7900,2350,13000
きゅうり,2021/2/16,第三者販売,625,500,85,－,－,－,－,－,40,－
きゅうり,2021/2/16,商物分離,4750,－,4750,－,－,－,－,－,－,－
なす,2021/2/16,せり・入札,488,－,280,50,－,58,－,100,－,－
なす,2021/2/16,相対,101825,17204,43967,4950,8297,7942,1801,9400,364,7900
なす,2021/2/16,第三者販売,135,－,120,－,－,－,－,－,15,－
なす,2021/2/16,商物分離,4045,－,4045,－,－,－,－,－,－,－
トマト,2021/2/16,せり・入札,765,184,249,32,－,100,－,100,－,100
トマト,2021/2/16,相対,216309,20657,99418,11968,41548,16000,2818,13300,500,10100
トマト,2021/2/16,第三者販売,1249,1045,160,－,－,－,－,－,44,－
トマト,2021/2/16,商物分離,4728,－,4328,－,－,－,－,400,－,－
ミニトマト,2021/2/16,せり・入札,43,43,－,－,－,－,－,－,－,－
ミニトマト,2021/2/16,相対,54957,4624,30397,1000,7597,2200,1038,1500,501,6100
ミニトマト,2021/2/16,第三者販売,70,－,51,－,－,－,－,－,19,－
ミニトマト,2021/2/16,商物分離,1641,－,1641,－,－,－,－,－,－,－
ピーマン,2021/2/16,せり・入札,818,－,258,－,428,32,－,100,－,－
ピーマン,2021/2/16,相対,62600,10141,25366,2999,8134,3968,1610,2700,482,7200
ピーマン,2021/2/16,第三者販売,352,－,351,1,－,－,－,－,－,－
ピーマン,2021/2/16,商物分離,1107,－,1107,－,－,－,－,－,－,－
じゃがいも,2021/2/16,せり・入札,1930,－,1930,－,－,－,－,－,－,－
じゃがいも,2021/2/16,相対,176552,39461,24281,5000,28730,15000,13490,19900,3590,27100
じゃがいも,2021/2/16,第三者販売,3220,3040,70,－,－,－,－,－,110,－
じゃがいも,2021/2/16,商物分離,2600,－,－,－,－,－,－,2600,－,－
さつまいも,2021/2/16,せり・入札,360,－,360,－,－,－,－,－,－,－
さつまいも,2021/2/16,相対,129820,9883,55665,6000,21692,5700,1145,8200,2535,19000
さつまいも,2021/2/16,第三者販売,90,－,90,－,－,－,－,－,－,－
さつまいも,2021/2/16,商物分離,8734,－,8734,－,－,－,－,－,－,－
さといも,2021/2/16,相対,16063,1450,9518,100,1200,1300,425,2000,70,－
さといも,2021/2/16,第三者販売,20,10,－,－,－,－,－,－,10,－
さといも,2021/2/16,商物分離,75,－,75,－,－,－,－,－,－,－
たまねぎ,2021/2/16,せり・入札,3000,－,3000,－,－,－,－,－,－,－
たまねぎ,2021/2/16,相対,286981,21319,126378,10000,40586,23500,5208,24200,5090,30700
たまねぎ,2021/2/16,第三者販売,11000,－,11000,－,－,－,－,－,－,－
たまねぎ,2021/2/16,商物分離,71300,－,71300,－,－,－,－,－,－,－
なましいたけ,2021/2/16,せり・入札,463,258,109,－,96,－,－,－,－,－
なましいたけ,2021/2/16,相対,27832,2478,16770,300,1821,1100,231,3800,32,1300
なましいたけ,2021/2/16,第三者販売,269,243,24,－,－,－,－,－,2,－
なましいたけ,2021/2/16,商物分離,1161,－,1161,－,－,－,－,－,－,－
その他野菜,2021/2/16,せり・入札,9555,1466,3102,－,4287,－,－,200,－,500
その他野菜,2021/2/16,相対,731231,111797,304294,50000,81461,48000,15457,59800,5622,54800
その他野菜,2021/2/16,第三者販売,16776,8601,8175,－,－,－,－,－,－,－
その他野菜,2021/2/16,商物分離,9399,－,9399,－,－,－,－,－,－,－
みかん,2021/2/16,せり・入札,3705,－,2225,－,－,670,－,100,－,710
みかん,2021/2/16,相対,395254,70587,188963,24300,44344,8740,8000,20500,430,29390
みかん,2021/2/16,第三者販売,10976,5900,3966,－,－,90,－,－,1020,－
みかん,2021/2/16,商物分離,27412,－,27412,－,－,－,－,－,－,－
ポンカン,2021/2/16,相対,8725,1029,6080,－,746,－,－,－,70,800
ポンカン,2021/2/16,第三者販売,65,－,－,－,－,－,－,－,65,－
あまなつかん,2021/2/16,相対,6600,－,5000,500,－,－,100,1000,－,－
いよかん,2021/2/16,相対,42760,900,32290,3000,－,300,100,6000,70,100
いよかん,2021/2/16,第三者販売,150,－,150,－,－,－,－,－,－,－
いよかん,2021/2/16,商物分離,9860,－,9860,－,－,－,－,－,－,－
はっさく,2021/2/16,相対,20786,－,12015,600,3750,－,800,3000,221,400
はっさく,2021/2/16,第三者販売,750,－,750,－,－,－,－,－,－,－
不知火,2021/2/16,せり・入札,500,－,500,－,－,－,－,－,－,－
不知火,2021/2/16,相対,78396,10480,40726,200,8070,1400,4600,7500,2120,3300
不知火,2021/2/16,第三者販売,2470,610,1860,－,－,－,－,－,－,－
せとか,2021/2/16,せり・入札,100,－,100,－,－,－,－,－,－,－
せとか,2021/2/16,相対,13678,1326,12252,－,－,－,－,－,－,100
せとか,2021/2/16,第三者販売,138,138,－,－,－,－,－,－,－,－
せとか,2021/2/16,商物分離,770,－,770,－,－,－,－,－,－,－
きんかん,2021/2/16,せり・入札,30,－,30,－,－,－,－,－,－,－
きんかん,2021/2/16,相対,9772,997,7256,100,539,100,80,600,－,100
きんかん,2021/2/16,第三者販売,164,164,－,－,－,－,－,－,－,－
きんかん,2021/2/16,商物分離,30,－,30,－,－,－,－,－,－,－
りんご,2021/2/16,せり・入札,3875,－,3845,－,－,－,－,－,－,30
りんご,2021/2/16,相対,250546,27070,163916,2400,20830,4830,1200,19000,430,10870
りんご,2021/2/16,第三者販売,2950,2000,780,－,－,170,－,－,－,－
りんご,2021/2/16,商物分離,28010,－,28010,－,－,－,－,－,－,－
いちご,2021/2/16,せり・入札,385,－,285,－,－,－,－,100,－,－
いちご,2021/2/16,相対,166388,17235,116326,1100,7995,3150,1000,10600,682,8300
いちご,2021/2/16,第三者販売,1780,671,971,－,－,50,－,－,88,－
いちご,2021/2/16,商物分離,12188,－,12188,－,－,－,－,－,－,－
アールスメロン,2021/2/16,せり・入札,2668,621,1923,24,－,－,－,100,－,－
アールスメロン,2021/2/16,相対,2877,666,1599,276,125,91,20,－,－,100
アールスメロン,2021/2/16,第三者販売,98,89,－,－,－,9,－,－,－,－
アールスメロン,2021/2/16,商物分離,56,－,56,－,－,－,－,－,－,－
キウイ,2021/2/16,相対,4053,1323,1116,－,258,－,10,－,1246,100
キウイ,2021/2/16,第三者販売,366,－,294,－,－,－,－,－,72,－
キウイ,2021/2/16,商物分離,4360,－,4360,－,－,－,－,－,－,－
その他果実,2021/2/16,せり・入札,1749,－,1749,－,－,－,－,－,－,－
その他果実,2021/2/16,相対,276042,48137,57150,12700,22843,38400,3400,37400,1912,54100
その他果実,2021/2/16,第三者販売,7343,5704,1639,－,－,－,－,－,－,－
その他果実,2021/2/16,商物分離,8536,－,8536,－,－,－,－,－,－,－
だいこん,2021/2/18,せり・入札,696,－,96,100,－,200,－,200,－,100
だいこん,2021/2/18,相対,384054,25992,188571,19800,45540,27100,9660,38300,4591,24500
だいこん,2021/2/18,第三者販売,9505,9295,10,100,－,－,－,－,100,－
だいこん,2021/2/18,商物分離,14372,－,14372,－,－,－,－,－,－,－
かぶ,2021/2/18,せり・入札,265,－,265,－,－,－,－,－,－,－
かぶ,2021/2/18,相対,49837,－,34205,2000,4233,4100,811,2800,1388,300
かぶ,2021/2/18,商物分離,5613,－,5413,－,－,－,－,200,－,－
にんじん,2021/2/18,せり・入札,2695,－,2595,－,－,－,－,－,－,100
にんじん,2021/2/18,相対,307455,33250,155853,19000,46203,14000,8399,8300,1850,20600
にんじん,2021/2/18,第三者販売,8400,100,6660,1000,－,－,－,－,640,－
にんじん,2021/2/18,商物分離,7763,－,7763,－,－,－,－,－,－,－
ごぼう,2021/2/18,相対,24889,2017,7939,500,3875,2000,588,7300,70,600
ごぼう,2021/2/18,第三者販売,2,－,2,－,－,－,－,－,－,－
ごぼう,2021/2/18,商物分離,1934,－,1934,－,－,－,－,－,－,－
キャベツ,2021/2/18,せり・入札,4030,430,3090,100,－,210,－,100,－,100
キャベツ,2021/2/18,相対,780254,98273,357891,34900,126580,45390,17100,56200,4520,39400
キャベツ,2021/2/18,第三者販売,17130,3450,13580,－,－,－,－,－,100,－
キャベツ,2021/2/18,商物分離,116958,－,116958,－,－,－,－,－,－,－
レタス,2021/2/18,せり・入札,1780,－,1280,100,－,200,－,100,－,100
レタス,2021/2/18,相対,279263,38962,154256,28500,16065,15200,2000,10000,4080,10200
レタス,2021/2/18,第三者販売,5924,324,4200,1400,－,－,－,－,－,－
レタス,2021/2/18,商物分離,34121,－,34121,－,－,－,－,－,－,－
はくさい,2021/2/18,せり・入札,2550,－,1805,150,－,195,－,300,－,100
はくさい,2021/2/18,相対,498626,53314,218255,69850,38855,21505,12439,44200,13408,26800
はくさい,2021/2/18,第三者販売,6185,5735,450,－,－,－,－,－,－,－
はくさい,2021/2/18,商物分離,72800,－,72800,－,－,－,－,－,－,－
こまつな,2021/2/18,せり・入札,7893,－,5227,200,302,100,64,－,－,2000
こまつな,2021/2/18,相対,56771,9586,26824,2800,5729,4400,689,6300,343,100
こまつな,2021/2/18,第三者販売,350,50,300,－,－,－,－,－,－,－
こまつな,2021/2/18,商物分離,2467,－,2467,－,－,－,－,－,－,－
ほうれんそう,2021/2/18,せり・入札,5617,1678,3205,－,554,80,－,100,－,－
ほうれんそう,2021/2/18,相対,98188,13313,45393,8000,10517,5020,857,13400,188,1500
ほうれんそう,2021/2/18,第三者販売,1577,1227,350,－,－,－,－,－,－,－
ほうれんそう,2021/2/18,商物分離,2823,－,2823,－,－,－,－,－,－,－
ねぎ,2021/2/18,せり・入札,2047,427,94,50,901,75,－,400,－,100
ねぎ,2021/2/18,相対,173736,26119,75273,11800,17126,15725,2248,17300,4145,4000
ねぎ,2021/2/18,第三者販売,1855,1240,200,150,－,－,－,－,265,－
ねぎ,2021/2/18,商物分離,8025,－,8025,－,－,－,－,－,－,－
みずな,2021/2/18,せり・入札,8,－,8,－,－,－,－,－,－,－
みずな,2021/2/18,相対,26502,5148,13019,1000,1710,1700,255,2800,170,700
みずな,2021/2/18,第三者販売,383,15,368,－,－,－,－,－,－,－
みずな,2021/2/18,商物分離,1596,－,1596,－,－,－,－,－,－,－
セルリー,2021/2/18,せり・入札,113,－,113,－,－,－,－,－,－,－
セルリー,2021/2/18,相対,40000,5513,22110,2000,3037,1700,410,3500,530,1200
セルリー,2021/2/18,第三者販売,350,350,－,－,－,－,－,－,－,－
ブロッコリー,2021/2/18,せり・入札,419,－,419,－,－,－,－,－,－,－
ブロッコリー,2021/2/18,相対,212536,34102,116993,3000,31412,3700,1764,7500,5065,9000
ブロッコリー,2021/2/18,第三者販売,11451,11451,－,－,－,－,－,－,－,－
ブロッコリー,2021/2/18,商物分離,19968,－,19968,－,－,－,－,－,－,－
きゅうり,2021/2/18,せり・入札,700,－,375,50,－,75,－,100,－,100
きゅうり,2021/2/18,相対,299314,34861,159484,11950,31783,16925,15246,17500,2565,9000
きゅうり,2021/2/18,第三者販売,1800,1795,5,－,－,－,－,－,－,－
きゅうり,2021/2/18,商物分離,6520,－,6520,－,－,－,－,－,－,－
なす,2021/2/18,せり・入札,309,－,110,50,－,49,－,100,－,－
なす,2021/2/18,相対,153117,25138,76515,4950,19359,9151,4042,6500,562,6900
なす,2021/2/18,第三者販売,484,359,125,－,－,－,－,－,－,－
なす,2021/2/18,商物分離,3862,－,3862,－,－,－,－,－,－,－
トマト,2021/2/18,せり・入札,1414,268,814,32,－,100,－,100,－,100
トマト,2021/2/18,相対,371965,39212,187968,11968,63882,15700,11375,29100,2660,10100
トマト,2021/2/18,第三者販売,10354,10170,184,－,－,－,－,－,－,－
トマト,2021/2/18,商物分離,18487,－,17987,－,－,－,－,500,－,－
ミニトマト,2021/2/18,せり・入札,136,72,64,－,－,－,－,－,－,－
ミニトマト,2021/2/18,相対,90586,11143,53122,700,11829,4700,2013,3900,179,3000
ミニトマト,2021/2/18,第三者販売,4660,4624,36,－,－,－,－,－,－,－
ミニトマト,2021/2/18,商物分離,11459,－,11459,－,－,－,－,－,－,－
ピーマン,2021/2/18,せり・入札,1786,－,981,－,673,32,－,100,－,－
ピーマン,2021/2/18,相対,85857,9770,39786,4999,12780,4568,3269,5200,785,4700
ピーマン,2021/2/18,第三者販売,157,－,156,1,－,－,－,－,－,－
ピーマン,2021/2/18,商物分離,2717,－,2717,－,－,－,－,－,－,－
じゃがいも,2021/2/18,せり・入札,150,－,150,－,－,－,－,－,－,－
じゃがいも,2021/2/18,相対,227822,24497,106415,15000,28540,18500,9040,7500,5230,13100
じゃがいも,2021/2/18,第三者販売,2000,1000,1000,－,－,－,－,－,－,－
じゃがいも,2021/2/18,商物分離,41040,－,40140,－,－,－,－,900,－,－
さつまいも,2021/2/18,せり・入札,275,－,275,－,－,－,－,－,－,－
さつまいも,2021/2/18,相対,141194,9928,82505,6000,14906,7000,3600,4400,2055,10800
さつまいも,2021/2/18,第三者販売,755,755,－,－,－,－,－,－,－,－
さつまいも,2021/2/18,商物分離,7650,－,7650,－,－,－,－,－,－,－
さといも,2021/2/18,せり・入札,165,－,165,－,－,－,－,－,－,－
さといも,2021/2/18,相対,28477,3226,19107,200,2454,2700,440,200,150,－
さといも,2021/2/18,第三者販売,20,20,－,－,－,－,－,－,－,－
さといも,2021/2/18,商物分離,775,－,775,－,－,－,－,－,－,－
たまねぎ,2021/2/18,相対,392766,29521,168017,15000,37956,47000,20682,45500,3690,25400
たまねぎ,2021/2/18,第三者販売,13180,－,13180,－,－,－,－,－,－,－
たまねぎ,2021/2/18,商物分離,25600,－,25600,－,－,－,－,－,－,－
なましいたけ,2021/2/18,せり・入札,523,324,113,－,86,－,－,－,－,－
なましいたけ,2021/2/18,相対,31252,3602,18255,300,1634,1100,333,5000,28,1000
なましいたけ,2021/2/18,第三者販売,235,201,34,－,－,－,－,－,－,－
なましいたけ,2021/2/18,商物分離,517,－,517,－,－,－,－,－,－,－
その他野菜,2021/2/18,せり・入札,13005,1887,6050,－,4278,－,90,200,－,500
その他野菜,2021/2/18,相対,820340,118801,405597,50000,81281,55000,15524,59800,5937,28400
その他野菜,2021/2/18,第三者販売,10866,3069,7797,－,－,－,－,－,－,－
その他野菜,2021/2/18,商物分離,14398,－,14398,－,－,－,－,－,－,－
みかん,2021/2/18,せり・入札,8165,－,4645,－,－,2610,－,100,－,810
みかん,2021/2/18,相対,451062,69690,247651,22700,47681,17360,3000,23300,190,19490
みかん,2021/2/18,第三者販売,10021,6230,3561,－,－,230,－,－,－,－
みかん,2021/2/18,商物分離,8870,－,8870,－,－,－,－,－,－,－
ポンカン,2021/2/18,相対,61075,3770,26055,5500,9550,3000,200,7400,500,5100
ポンカン,2021/2/18,第三者販売,240,－,－,－,－,－,－,－,240,－
ポンカン,2021/2/18,商物分離,180,－,180,－,－,－,－,－,－,－
あまなつかん,2021/2/18,相対,22660,2000,15060,1500,4000,－,－,－,－,100
いよかん,2021/2/18,相対,111867,10217,57840,7000,19780,4500,－,11500,930,100
いよかん,2021/2/18,第三者販売,19260,9730,700,－,－,－,－,－,8830,－
いよかん,2021/2/18,商物分離,9640,－,9640,－,－,－,－,－,－,－
はっさく,2021/2/18,相対,37659,－,17659,－,4000,4600,2600,6300,100,2400
はっさく,2021/2/18,第三者販売,390,－,390,－,－,－,－,－,－,－
不知火,2021/2/18,せり・入札,345,－,345,－,－,－,－,－,－,－
不知火,2021/2/18,相対,184468,26580,92100,4300,32758,6900,－,13100,3730,5000
不知火,2021/2/18,第三者販売,14415,10445,585,－,－,－,－,－,3385,－
不知火,2021/2/18,商物分離,5193,－,5193,－,－,－,－,－,－,－
せとか,2021/2/18,せり・入札,33,－,33,－,－,－,－,－,－,－
せとか,2021/2/18,相対,13443,455,10662,－,411,－,－,1700,215,－
きんかん,2021/2/18,せり・入札,30,－,30,－,－,－,－,－,－,－
きんかん,2021/2/18,相対,14942,1350,10942,600,950,300,－,700,－,100
きんかん,2021/2/18,第三者販売,87,60,27,－,－,－,－,－,－,－
きんかん,2021/2/18,商物分離,81,－,81,－,－,－,－,－,－,－
りんご,2021/2/18,せり・入札,13450,－,13420,－,－,－,－,－,－,30
りんご,2021/2/18,相対,348043,29065,222520,4000,46518,9200,6100,19000,170,11470
りんご,2021/2/18,第三者販売,5868,－,5868,－,－,－,－,－,－,－
りんご,2021/2/18,商物分離,50491,－,50491,－,－,－,－,－,－,－
いちご,2021/2/18,せり・入札,1970,－,1726,－,－,6,－,100,－,138
いちご,2021/2/18,相対,284122,24209,210191,2900,14899,4102,700,19600,259,7262
いちご,2021/2/18,第三者販売,4446,1636,2292,－,－,392,－,－,126,－
いちご,2021/2/18,商物分離,16692,－,16692,－,－,－,－,－,－,－
アールスメロン,2021/2/18,せり・入札,2701,795,1674,32,－,－,－,200,－,－
アールスメロン,2021/2/18,相対,4761,1248,2665,368,335,100,－,－,45,－
アールスメロン,2021/2/18,第三者販売,166,166,－,－,－,－,－,－,－,－
キウイ,2021/2/18,せり・入札,223,－,223,－,－,－,－,－,－,－
キウイ,2021/2/18,相対,41169,5333,27509,－,3270,1600,150,3200,7,100
キウイ,2021/2/18,第三者販売,379,－,379,－,－,－,－,－,－,－
キウイ,2021/2/18,商物分離,10057,－,10057,－,－,－,－,－,－,－
その他果実,2021/2/18,せり・入札,192,－,192,－,－,－,－,－,－,－
その他果実,2021/2/18,相対,343075,73141,96719,16200,25716,55100,1900,48200,1671,24428
その他果実,2021/2/18,第三者販売,11086,10061,1025,－,－,－,－,－,－,－
その他果実,2021/2/18,商物分離,11562,－,10590,－,－,－,－,－,－,972
だいこん,2021/2/19,せり・入札,686,－,86,100,－,200,－,200,－,100
だいこん,2021/2/19,相対,429149,27832,199203,17700,49165,33500,11713,47500,2336,40200
だいこん,2021/2/19,第三者販売,5466,5156,－,200,－,－,－,－,110,－
だいこん,2021/2/19,商物分離,13172,－,13172,－,－,－,－,－,－,－
かぶ,2021/2/19,せり・入札,97,－,97,－,－,－,－,－,－,－
かぶ,2021/2/19,相対,43433,－,28054,2000,4450,4000,802,2800,1027,300
かぶ,2021/2/19,商物分離,5898,－,5698,－,－,－,－,200,－,－
にんじん,2021/2/19,せり・入札,780,420,260,－,－,－,－,－,－,100
